DISSOLVED OXYGEN (mg/L),PERCENTAGE DISSOLVED OXYGEN (%),PH (???),TEMPERATURE (°C),TURBIDITY (NTU),date,quality
6.29,73.77,7.86,15.591,5.6,2023-09-07 10:01:24,98.5
5.84,69.12,7.83,15.256,1.74,2023-09-07 09:01:24,100.0
6.21,73.51,7.87,15.238,3.06,2023-09-07 08:01:24,100.0
6.37,74.99,7.85,15.437,5.5,2023-09-07 07:01:24,98.75
6.25,73.06,7.82,15.699,5.05,2023-09-07 06:01:24,99.875
6.22,71.76,7.76,16.119,5.65,2023-09-07 05:01:24,98.375
5.89,67.53,7.68,16.288,4.39,2023-09-07 04:01:24,100.0
5.84,65.68,7.59,16.984,7.86,2023-09-07 03:01:24,92.85
5.58,62.45,7.55,17.33,6.21,2023-09-07 02:01:24,96.975
6.29,70.34,7.61,17.394,6.55,2023-09-07 01:01:24,96.125
6.56,73.83,7.67,17.253,7.67,2023-09-07 00:01:24,93.325
6.26,71.27,7.71,16.608,5.66,2023-09-06 23:01:24,98.35
6.15,71.04,7.77,16.087,5.0,2023-09-06 22:01:24,100.0
5.88,68.92,7.8,15.558,5.31,2023-09-06 21:01:24,99.225
6.01,70.58,7.81,15.459,3.89,2023-09-06 20:01:24,100.0
6.21,72.51,7.81,15.625,4.77,2023-09-06 19:01:24,100.0
6.24,71.92,7.75,16.127,5.91,2023-09-06 18:01:24,97.725
6.32,71.94,7.69,16.501,7.87,2023-09-06 17:01:24,92.825
6.26,70.39,7.63,16.67,10.66,2023-09-06 16:01:24,85.85
5.86,65.43,7.57,16.793,30.24,2023-09-06 15:01:24,75.0
6.01,66.32,7.53,17.546,8.98,2023-09-06 14:01:24,90.05
6.62,73.14,7.59,17.614,11.12,2023-09-06 13:01:24,84.7
6.3,70.02,7.61,17.059,10.52,2023-09-06 12:01:24,86.2
6.23,69.78,7.65,16.668,8.95,2023-09-06 11:01:24,90.125
5.83,66.49,7.71,16.053,26.25,2023-09-06 10:01:24,75.0
5.85,67.47,7.74,15.709,5.51,2023-09-06 09:01:24,98.725
5.64,65.87,7.77,15.436,6.61,2023-09-06 08:01:24,95.975
5.97,69.67,7.78,15.453,3.32,2023-09-06 07:01:24,100.0
6.19,71.03,7.74,15.818,8.17,2023-09-06 06:01:24,92.075
6.21,69.93,7.65,16.268,11.62,2023-09-06 05:01:24,83.45
6.27,69.81,7.6,16.598,11.04,2023-09-06 04:01:24,84.9
5.88,65.42,7.55,16.696,6.65,2023-09-06 03:01:24,95.875
5.72,62.5,7.52,17.19,9.19,2023-09-06 02:01:24,89.525
6.42,70.08,7.57,17.23,11.18,2023-09-06 01:01:24,84.55
6.4,70.34,7.59,17.023,12.77,2023-09-06 00:01:24,80.575
6.12,67.94,7.61,16.634,10.18,2023-09-05 23:01:24,87.05
5.88,65.98,7.63,16.388,7.95,2023-09-05 22:01:24,92.625
5.94,67.95,7.69,16.113,5.04,2023-09-05 21:01:24,99.9
5.6,65.05,7.73,15.61,5.46,2023-09-05 20:01:24,98.85
5.96,69.2,7.76,15.6,5.38,2023-09-05 19:01:24,99.05
6.16,70.62,7.7,16.169,6.13,2023-09-05 18:01:24,97.175
6.15,69.48,7.63,16.517,12.0,2023-09-05 17:01:24,82.5
6.34,70.2,7.58,16.903,16.02,2023-09-05 16:01:24,75.0
6.61,72.25,7.57,17.127,16.9,2023-09-05 15:01:24,75.0
6.1,66.23,7.54,17.249,16.15,2023-09-05 14:01:24,75.0
6.69,72.51,7.58,17.22,17.99,2023-09-05 13:01:24,75.0
6.53,70.93,7.59,16.872,18.92,2023-09-05 12:01:24,75.0
6.22,68.19,7.6,16.511,17.22,2023-09-05 11:01:24,75.0
5.89,65.49,7.62,16.132,14.48,2023-09-05 10:01:24,76.3
5.76,65.18,7.68,15.587,8.11,2023-09-05 09:01:24,92.225
5.59,64.07,7.72,15.379,5.79,2023-09-05 08:01:24,98.025
5.54,64.1,7.72,15.255,4.5,2023-09-05 07:01:24,100.0
6.05,69.87,7.77,15.287,9.65,2023-09-05 06:01:24,88.375
6.03,68.62,7.7,15.537,13.07,2023-09-05 05:01:24,79.825
6.0,66.79,7.61,15.932,17.83,2023-09-05 04:01:24,75.0
6.16,67.23,7.55,16.422,14.55,2023-09-05 03:01:24,76.125
6.38,69.0,7.55,16.705,16.36,2023-09-05 02:01:24,75.0
6.06,65.13,7.54,16.851,16.28,2023-09-05 01:01:24,75.0
6.38,68.65,7.56,16.838,19.68,2023-09-05 00:01:24,75.0
6.16,66.87,7.57,16.613,16.93,2023-09-04 23:01:24,75.0
5.88,64.68,7.58,16.286,13.4,2023-09-04 22:01:24,79.0
5.72,64.22,7.63,15.946,8.72,2023-09-04 21:01:24,90.7
5.63,64.36,7.68,15.649,7.08,2023-09-04 20:01:24,94.8
5.44,62.84,7.71,15.335,6.48,2023-09-04 19:01:24,96.3
5.92,68.09,7.74,15.538,5.38,2023-09-04 18:01:24,99.05
5.92,67.22,7.66,15.801,15.88,2023-09-04 17:01:24,75.0
5.92,65.96,7.58,16.179,16.81,2023-09-04 16:01:28,75.0
6.17,67.0,7.53,16.384,24.07,2023-09-04 15:01:24,75.0
6.4,68.52,7.54,16.382,23.83,2023-09-04 14:01:24,75.0
6.59,70.14,7.56,16.677,31.45,2023-09-04 13:01:24,75.0
6.41,68.41,7.56,16.41,24.51,2023-09-04 12:01:24,75.0
6.41,68.59,7.57,16.271,36.7,2023-09-04 11:01:24,75.0
5.89,63.68,7.56,15.93,22.98,2023-09-04 10:01:24,75.0
5.69,62.37,7.58,15.668,16.0,2023-09-04 09:01:24,75.0
5.63,63.33,7.66,15.206,9.67,2023-09-04 08:01:24,88.325
5.79,66.11,7.73,15.034,7.47,2023-09-04 07:01:24,93.825
5.6,64.67,7.73,14.971,6.76,2023-09-04 06:01:24,95.6
5.96,68.02,7.73,15.071,12.22,2023-09-04 05:01:24,81.95
5.76,64.58,7.62,15.325,22.9,2023-09-04 04:01:24,75.0
5.75,62.64,7.52,15.726,20.73,2023-09-04 03:01:24,75.0
6.09,65.1,7.51,16.124,25.37,2023-09-04 02:01:24,75.0
6.04,64.19,7.52,16.282,22.75,2023-09-04 01:01:24,75.0
6.02,63.79,7.52,16.334,23.6,2023-09-04 00:01:24,75.0
6.18,65.7,7.55,16.294,32.41,2023-09-03 23:01:24,75.0
5.83,62.65,7.54,16.092,25.14,2023-09-03 22:01:24,75.0
5.47,59.62,7.53,15.855,14.71,2023-09-03 21:01:24,75.725
5.46,61.08,7.6,15.588,13.83,2023-09-03 20:01:24,77.925
5.46,62.56,7.67,15.276,9.66,2023-09-03 19:01:24,88.35
5.72,65.83,7.72,15.112,9.67,2023-09-03 18:01:24,88.325
5.84,66.72,7.68,15.294,14.49,2023-09-03 17:01:24,76.275
5.56,62.11,7.56,15.621,26.87,2023-09-03 16:01:24,75.0
5.63,61.14,7.48,15.886,32.35,2023-09-03 15:01:24,75.0
6.07,64.77,7.49,16.262,40.41,2023-09-03 14:01:24,75.0
6.54,68.31,7.55,16.212,34.55,2023-09-03 13:01:24,75.0
6.56,68.31,7.58,16.125,41.35,2023-09-03 12:01:24,75.0
6.03,63.53,7.53,15.867,46.9,2023-09-03 11:01:24,75.0
5.88,62.47,7.53,15.621,46.42,2023-09-03 10:01:24,75.0
5.39,58.18,7.52,15.415,27.37,2023-09-03 09:01:24,75.0
5.39,59.22,7.56,15.179,15.33,2023-09-03 08:01:24,75.0
5.46,61.24,7.64,14.932,13.79,2023-09-03 07:01:24,78.025
5.59,63.8,7.71,14.747,9.45,2023-09-03 06:01:24,88.875
5.84,67.11,7.75,14.717,8.61,2023-09-03 05:01:24,90.975
5.82,66.01,7.69,14.854,28.4,2023-09-03 04:01:24,75.0
5.53,61.13,7.55,15.171,32.97,2023-09-03 03:01:24,75.0
5.55,59.65,7.47,15.477,29.0,2023-09-03 02:01:24,75.0
5.75,60.76,7.47,15.735,34.63,2023-09-03 01:01:24,75.0
5.89,61.47,7.51,15.858,28.09,2023-09-03 00:01:24,75.0
5.87,61.58,7.51,15.83,39.54,2023-09-02 23:01:24,75.0
5.69,60.38,7.5,15.729,37.25,2023-09-02 22:01:24,75.0
5.45,58.68,7.51,15.546,21.61,2023-09-02 21:01:24,75.0
5.37,58.69,7.52,15.417,13.7,2023-09-02 20:01:24,78.25
5.54,61.96,7.62,15.198,12.48,2023-09-02 19:01:24,81.3
5.77,65.81,7.7,14.924,12.32,2023-09-02 18:01:24,81.7
5.58,63.81,7.68,14.898,8.66,2023-09-02 17:01:25,90.85
5.81,65.45,7.65,15.011,32.94,2023-09-02 16:01:24,75.0
5.58,61.16,7.51,15.284,48.3,2023-09-02 15:01:24,75.0
5.83,62.42,7.48,15.471,50.09,2023-09-02 14:01:24,75.0
6.03,63.04,7.48,15.458,42.74,2023-09-02 13:01:24,75.0
6.33,65.52,7.53,15.656,32.49,2023-09-02 12:01:24,75.0
6.13,63.56,7.52,15.455,51.29,2023-09-02 11:01:24,75.0
5.92,62.31,7.51,15.29,57.51,2023-09-02 10:01:24,75.0
5.84,62.23,7.53,15.155,48.1,2023-09-02 09:01:24,75.0
